Zeit_s;Kraft_N;Weg_mm;Durchbiegung fm_mm;Biegespannung_MPa
3,480000;4,419343;0,031653;0,000000;1,577398
3,500000;4,445965;0,031844;0,000000;1,586900
3,520000;4,472588;0,032034;0,000000;1,596402
3,540000;4,499210;0,032225;0,000000;1,605905
3,560000;4,525833;0,032416;0,000000;1,615407
3,580000;4,552455;0,032606;0,000000;1,624910
3,600000;4,579078;0,032797;0,000000;1,634412
3,620000;4,605700;0,032988;0,000000;1,643914
3,640000;4,632323;0,033178;0,000000;1,653417
3,660000;4,658945;0,033369;0,000000;1,662919
3,680000;4,685568;0,033560;0,000000;1,672422
3,700000;4,712191;0,033751;0,000000;1,681924
3,720000;4,738813;0,033941;0,000000;1,691426
3,740000;4,765436;0,034132;0,000000;1,700929
3,760000;4,792058;0,034323;0,000000;1,710431
3,780000;4,818681;0,034513;0,000000;1,719934
3,800000;4,845303;0,034704;0,000000;1,729436
3,820000;4,871926;0,034895;0,000000;1,738938
3,840000;4,898548;0,035085;0,000000;1,748441
3,860000;4,925171;0,035276;0,000000;1,757943
3,880000;4,951793;0,035467;0,000000;1,767446
3,900000;4,978416;0,035657;0,000000;1,776948
3,920000;5,005039;0,035848;0,000000;1,786450
3,940000;5,031661;0,036039;0,000000;1,795953
3,960000;5,058284;0,036229;0,000000;1,805455
3,980000;5,084906;0,036420;0,000000;1,814958
4,000000;5,111529;0,036611;0,000000;1,824460
4,020000;5,138151;0,036801;0,000000;1,833962
4,040000;5,164774;0,036992;0,000000;1,843465
4,060000;5,191396;0,037183;0,000000;1,852967
4,080000;5,218019;0,037373;0,000000;1,862470
4,100000;5,244641;0,037564;0,000000;1,871972
4,120000;5,271264;0,037755;0,000000;1,881474
4,140000;5,297887;0,037946;0,000000;1,890977
4,160000;5,324509;0,038136;0,000000;1,900479
4,180000;5,351132;0,038327;0,000000;1,909982
4,200000;5,377754;0,038518;0,000000;1,919484
4,220000;5,404377;0,038708;0,000000;1,928986
4,240000;5,430999;0,038899;0,000000;1,938489
4,260000;5,457622;0,039090;0,000000;1,947991
4,280000;5,484244;0,039280;0,000000;1,957494
4,300000;5,510867;0,039471;0,000000;1,966996
4,320000;5,537489;0,039662;0,000000;1,976498
4,340000;5,564112;0,039852;0,000000;1,986001
4,360000;5,590735;0,040043;0,000000;1,995503
4,380000;5,617357;0,040234;0,000000;2,005006
4,400000;5,643980;0,040424;0,000000;2,014508
4,420000;5,670602;0,040615;0,000000;2,024010
